type,week_pharm,week_tech,sat_pharm,sat_tech,sun_pharm,sun_tech
chain,1.0921052631578947,2.4473684210526314,1.0140845070422535,1.3098591549295775,1,1.1846153846153846
independent,1.8,3.8,1.0526315789473684,1.5263157894736843,1.2,2.4
